db_name,canonical_name,lat,long,checked
SIGNPOST-16,,,,1
SODA HALL,Soda Hall,37.8757151,-122.2590485,1
2150 SHATTUCK AV,2150 Shattuck Ave,37.870019,-122.268613,1
HEARST FIELD ANNEX,Hearst Field Annex,37.8694693,-122.2581587,1
UNIT-1 DEUTSCH,Unit 1 Deutsch Hall,37.8676153,-122.2557099,1
UNIT-2 DAVIDSON,Unit 2 Davidson Hall,37.8662746,-122.2542044,1
CKC-7,Clark Kerr Campus Building 7,37.8638051,-122.24936,1
ESHLEMAN HALL,Eshleman Hall,37.8691329,-122.259453,1
ANNA HEAD LOT,Anna Head Parking Lot,37.86654,-122.2577048,1
0 SODA HALL,Soda Hall,37.8757151,-122.2590485,1
SHARED SERVICES,,,,1
UNIT-1 CHENEY,Unit 1 Cheney Hall,37.8680608,-122.2556064,1
2424 HASTE ST,2424 Haste St,37.8656948,-122.2597509,1
MORGAN HALL,Morgan Hall,37.8733142,-122.2642064,1
UNIT-1 PUTNAM,Unit 1 Putnam Hall,37.8676154,-122.2546287,1
0 UNIT-1 PUTNAM,Unit 1 Putnam Hall,37.8676154,-122.2546287,1
UNIT-2 WADA,Unit 2 Wada Hall,37.8657843,-122.2548611,1
0 DOE LIBRARY,Doe Memorial Library,37.8722083,-122.2594927,1
GENETICS & PLANT BIOLOGY,Genetics & Plant Biology Building,37.8734357,-122.2647492,1
0 TANG CENTER,Tang Center,37.8676679,-122.2642858,1
0 MAX MARTINEZ,Maximo Martinez Commons,37.8666016,-122.257757,1
BANCROFT/FULTON LOT,Bancroft /Fulton Parking Lot,37.8675781,-122.2651172,1
GROVE,Eucalyptus Grove,37.8711164,-122.2644763,1
0 UNIT-3 SPENS/BLACK,Unit 3 Spens-Black Hall,37.8671726,-122.2603606,1
KROEBER PLAZA,Kroeber Plaza,37.869853,-122.2551518,1
SIMON HALL,Simon Hall,37.8699767,-122.2532914,1
ENERGY BIOSCIENCES INSTITUTE,Energy Biosciences Institute,37.8738531,-122.266906,1
2401 BANCROFT WAY,2401 Bancroft Way,37.8686741,-122.2611621,1
UVA,University Village,37.8849256,-122.3010808,1
ANTHONY HALL,Anthony Hall,37.8706032,-122.258192,1
GPB GARAGE,Genetics & Plant Biology Garage,37.8734357,-122.2647492,1
CHEIT HALL,Cheit Hall,37.8723708,-122.2548585,1
0 BOALT HALL,Boalt Hall,37.8699767,-122.2532914,1
CAMPBELL HALL,Campbell Hall,37.8730114,-122.2569644,1
2424 CHANNING WAY,2424 Channing Way,37.8666774,-122.2594715,1
UAM,,,,1
FOOTHILL-1,Foothill Building 1,37.8757424,-122.2563979,1
1936 UNIVERSITY AV,1936 University Ave,37.8712817,-122.2720796,1
BANCROFT/DANA LOT,Bancroft/Dana Lot,37.868432,-122.261424,1
1952 OXFORD,1952 Oxford St,37.87305,-122.266521,1
CLOYNE COURT,Cloyne Court Hotel,37.8760914,-122.2578465,1
BLACKBERRY CANYON GATE,Blackberry Canyon Entrance,37.8752621,-122.2531336,1
CKC-4,Clark Kerr Campus Building 4,37.8638051,-122.24936,1
UNIT-1 FREEBORN,Unit 1 Freeborn Hall,37.8680352,-122.2545825,1
2650 HASTE ST,2650 Haste St,37.8662874,-122.2552508,1
FRANK SCHLESSINGER WAY,Frank Schlessinger Way,37.8705786,-122.2638617,1
MANVILLE APTS,Manville Apartments,37.865799,-122.266847,1
MAXWELL FIELD,Maxwell Family Field,37.8722958,-122.252699,1
CLEARY HALL,Unit 3 Beverly Cleary Hall,37.8664916,-122.2596211,1
0 RFS-201,,,,1
CALVIN LAB,Melvin Calvin Laboratory,37.8709969,-122.2539394,1
0 I HOUSE,International House,37.869504,-122.251766,1
DWINELLE LOT,Dwinelle Lot,37.8703395,-122.2612068,1
HERTZ HALL,Hertz Hall,37.8710811,-122.2556994,1
0 BARROWS HALL,Barrows Hall,37.8700441,-122.2579335,1
MENS FACULTY CLUB,Men’s Faculty Club,37.8716886,-122.255906,1
CKC-8,Clark Kerr Campus Building 8,37.8638051,-122.24936,1
LHS TERRACE LOT,Lawrence Hall of Science Lot,37.880289,-122.246218,1
0 WHEELER HALL,Wheeler Hall,37.8713074,-122.2591493,1
0 ASUC,Martin Luther King Jr Student Union,37.8692195,-122.2596727,1
HILGARD HALL,Hilgard Hall,37.8733109,-122.2634045,1
LBNL-90,Lawrence Berkeley National Laboratory,37.8754404,-122.2455364,1
NW ANIM FACIL,,,,1
0 TOLMAN HALL,Tolman Hall,37.8741044,-122.2638912,1
HESSE HALL,Hesse Hall,37.8743128,-122.2593508,1
BECHTEL HALL,Bechtel Engineering Center,37.8741858,-122.258188,1
945 OHLONE AVE,945 Ohlone Ave,37.8855041,-122.3010548,1
435 GOODING WAY,435 Gooding Way,37.8848116,-122.3016412,1
CKC-23,Clark Kerr Campus Building 23,37.8638051,-122.24936,1
DONNER LAB,Donner Lab,37.8744177,-122.256305,1
MCLAUGHLIN HALL,McLauglin Hall,37.8738011,-122.2589949,1
BOALT LOT,Boalt Lot,37.8699767,-122.2532914,1
0 WURSTER HALL,Wurster Hall,37.8707352,-122.2548935,1
0 ESHLEMAN HALL,Eshleman Hall,37.8691329,-122.259453,1
DURANT HALL,Durant Hall,37.8712498,-122.2600955,1
0 HAAS PAVILION,Haas Pavilion,37.869401,-122.2623135,1
2650 DURANT AV,2650 Durant Ave,37.8679425,-122.2549152,1
